 Commenter , Information Requested , Type of Information Needed 
 National Center for Health Statistics (NCHS) ," Comparison of prevalence estimates of Long COVID among different demographic groups (e.g., women vs. men, adults ages 35-49 vs. other age groups, Asian adults vs. other racial and ethnic groups) "," Comparative analysis, statistical significance testing "
 National Center for Health Statistics (NCHS) ," Trends and patterns in Long COVID prevalence by urbanization level (large central metropolitan areas, medium and small metropolitan areas, nonmetropolitan areas) "," Geographic analysis, trend analysis "
 --- , --- , --- 
 Not specified (public commenter) , A minimum 4-week public comment period before FDA committee meetings , Procedural/Regulatory 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy/Recommendation 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at regular intervals (at least every 6 months) , Policy/Recommendation 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emerging new SARS-CoV-2 strains , Scientific/Technical 
 Not specified (public commenter) , Updates to all vaccine types to better match emerging variants , Scientific/Technical 
 Not specified (public commenter) , Access to all vaccine options from all three manufacturers , Policy/Recommendation 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Scientific/Technical 
 Not specified (public commenter) , Recommendations for equitable and affordable access to updated vaccines , Policy/Recommendation 
 Not specified (public commenter) , Addressing access limitations due to financial and demographic constraints , Policy/Recommendation 
 Not specified (public commenter) ," FDA to advocate for programs ensuring no-cost access to vaccines (e.g., CDC bridge program) ", Policy/Recommendation 
 Not specified (public commenter) , Accountability from FDA Commissioner Marty Makary to prioritize public welfare over short-term financial or economic analyses , Accountability/Oversight 
 --- , --- , --- 
 Eustace Mullins , Information on the FDA's stance on homeopathic medicine and its regulation , Policy/Regulatory information 
 Eustace Mullins , Data on the effectiveness and safety of homeopathic treatments compared to conventional medical treatments , Scientific/Research data 
 Eustace Mullins , Details on the FDA's relationship with the American Medical Association (AMA) and its potential influence on FDA decisions , Transparency/Conflict of interest information 
 Eustace Mullins ," Information on the FDA's approach to alternative medical practices, such as homeopathy, and how they are evaluated and regulated ", Regulatory/Policy framework information 
 --- , --- , --- 
 Infectious Disease Physician , Data on the impact of limiting Covid-19 vaccine access to those under 65 without chronic health conditions , Epidemiological and clinical data 
 Infectious Disease Physician , Information on the effectiveness of vaccines in reducing hospitalization risk and preventing long Covid , Clinical trial data and scientific evidence 
 Infectious Disease Physician , Explanation for requiring placebo-controlled trials for updated vaccines , Regulatory and ethical guidelines 
 Infectious Disease Physician , Justification for requiring six months of data for vaccine approvals , Regulatory and procedural information 
 Infectious Disease Physician ," Transparency on the decision-making process, including ", Procedural and governance information 
,,
,,
,,
,,
 --- , --- , --- 
 Michael Shaw , Robust scientific evidence on safety and efficacy of COVID-19 vaccines for all populations , Scientific data and research studies 
 Michael Shaw , Four-week public comment period before committee meetings , Procedural change 
 Michael Shaw ," Universal access to updated COVID vaccines for all ages, fully covered by public funds or insurance ", Policy change 
 Michael Shaw , Regular vaccination schedule to address waning efficacy and emerging variants , Public health strategy 
 Michael Shaw ," Access to all vaccine options, including those from multiple manufacturers ", Product availability 
 Michael Shaw ," Development of alternative vaccine delivery methods (e.g., liquids, pills, nasal sprays) ", Product development 
 Michael Shaw ," Recommendations based on scientific evidence, not financial or economic analyses ", Decision-making criteria 
 Michael Shaw ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy change 
 Michael Shaw ," FDA support for programs ensuring no-cost access to vaccines, such as the CDC Bridge Program ", Program implementation 
 --- , --- , --- 
 International Institute for Psychiatric Drug Withdrawal (IIPDW) ," Accurate and complete labeling for SSRI and SNRI antidepressants to warn patients of potential harms, specifically information on withdrawal symptoms "," Regulatory action/change to labeling, citing evidence from research and patient experiences "
 --- , --- , --- 
" (Not specified, appears to be a public comment) ", Ensure a four-week public comment period before upcoming committee meetings , Procedural/Regulatory Information 
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
 --- , --- , --- 
 Not specified , Challenges in submitting clinical study data collected from RWD sources ," Qualitative, descriptive information on the current state of RWD submissions "
 Not specified , Opportunities and challenges for the pharmaceutical industry in using HL7 FHIR for RWD submissions ," Qualitative, descriptive information on potential benefits and drawbacks of using FHIR "
 Not specified , Suggestions on how FDA can reach a future state of clinical study data submissions collected from RWD sources ," Recommendations for data standards, pilot use cases, and regulatory infrastructure development "
 Not specified , Evaluation of USCDI version 3 for collecting RWD for research purposes , Assessment of the strengths and limitations of USCDI v3 for research use cases 
 Not specified , Potential role of TEFCA in using RWD for clinical research ," Analysis of the potential benefits and challenges of adding ""Research"" as an ""Exchange Purpose"" under TEFCA "
 --- , --- , --- 
 Unknown (possibly Dr. Robert Malone or other researchers) ," Data on the safety and efficacy of mRNA COVID-19 vaccines, particularly regarding inflammation, DNA damage, and autoimmunity "," Scientific evidence, clinical trial data, and regulatory documents "
 --- , --- , --- 
" Beverly Moy, MD, MPH "," Removal of barriers to DPD testing, specifically cost coverage by insurers ", Policy/Regulatory Change 
" Beverly Moy, MD, MPH ", Reduction of turnaround time for DPD test results , Operational/Logistical Improvement 
" Beverly Moy, MD, MPH ", Guidance on universal DPD testing for patients receiving fluorouracil or capecitabine , Clinical Practice Guidelines 
" Beverly Moy, MD, MPH ", Data on managing patients with complete DPD deficiency , Clinical Decision-Making Information 
" Beverly Moy, MD, MPH ", Standardized guidelines for dosing and monitoring approaches in patients with partial DPD deficiency , Clinical Practice Guidelines 
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before committee meetings , Procedural/Regulatory 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Policy/Risk Management 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Financial/Access 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and new SARS-CoV-2 strains , Scientific/Efficacy 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Efficacy 
 Not specified (public commenter) , Access to all vaccine options made by all three manufacturers , Access/Manufacturing 
 Not specified (public commenter) ," Support for vaccine options beyond injection (e.g., liquids, pills, nasal sprays) ", Scientific/Innovation 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain in the next six months , Scientific/Forecasting 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Access 
 Not specified (public commenter) , Accountability for FDA commissioner's words and decisions based on long-term public welfare outcomes , Governance/Accountability 
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before an upcoming committee meeting , Procedural/Regulatory 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy/Recommendation 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Financial/Access 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Efficacy 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Efficacy 
 Not specified (public commenter) , Access to all vaccine options made by all three manufacturers , Access/Equity 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, or nasal sprays) ", Scientific/Innovation 
 Not specified (public commenter) , Recommendations for equitable and affordable access to updated vaccines , Policy/Recommendation 
 Not specified (public commenter) , Addressing access limitations due to financial and demographic constraints , Access/Equity 
 Not specified (public commenter) , FDA to prioritize long-term public welfare outcomes over short-term financial or economic analyses , Decision-Making/Accountability 
 --- , --- , --- 
 Ethics and Public Policy Center (Jamie Bryan Hall and Ryan T. Anderson) ," The FDA should reinstate earlier, stronger patient safety protocols for mifepristone, including: <ol><li> Requiring at least three in-person office visits by the patient</li><li> Prescribing mifepristone only by physicians who have read and understood the prescribing information</li><li> Administering mifepristone only in a clinic, medical office, or hospital, under the supervision of a physician</li><li> Requiring healthcare providers to report all serious adverse events resulting from the use of mifepristone</li><li> Prescribing mifepristone only to women who are confirmed by a physician to be in the first seven weeks of pregnancy</li></ol> ", Regulatory and safety protocol changes 
 Ethics and Public Policy Center (Jamie Bryan Hall and Ryan T. Anderson) , The FDA should further investigate the harm mifepristone causes to women and reconsider its approval based on objective safety criteria , Investigation and reevaluation of drug safety and approval 
 Ethics and Public Policy Center (Jamie Bryan Hall and Ryan T. Anderson) ," Data on the real-world rate of serious adverse events following mifepristone abortions, including sepsis, infection, hemorrhaging, and other serious adverse events ", Real-world data and statistics on drug safety and adverse events 
,,
,,
,,
 --- , --- , --- 
 Not specified (individual submission) , Universal access to updated COVID vaccines for all ages and populations , Policy/Regulatory Change 
 Not specified (individual submission) , Four-week public comment period before committee meetings , Procedural Change 
 Not specified (individual submission) , Vaccines to be recommended for individuals of all ages and fully covered by public funds/insurance at regular intervals (at least every six months) , Recommendation/Guideline 
 Not specified (individual submission) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Technical Guidance 
 Not specified (individual submission) , Updates to all vaccine types to match emerging variants and ensuring access to all options from all manufacturers , Product Development/Approval 
 Not specified (individual submission) ," Support for vaccine options beyond injections (e.g., liquids, pills, or nasal sprays) ", Product Development/Approval 
 Not specified (individual submission) , Recommendations that anticipate the next dominant strain in the next six months , Scientific/Technical Guidance 
 Not specified (individual submission) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Access/Equity Guidance 
 Not specified (individual submission) , Revival of programs like the CDC Bridge Program to ensure no-cost access to vaccines , Program/Policy Implementation 
 --- , --- , --- 
 Mitchell Berger , International approaches to infant formula safety and nutrition , Comparative analysis of international standards and regulations 
 Mitchell Berger , Review of Codex Alimentarius standards for infant formula , Understanding of voluntary international standards for infant formula 
 Mitchell Berger , Comparison of US and international infant formula nutrient standards , Data on differences in nutrient levels and labeling between US and international formulas 
 Mitchell Berger ," Information on FDA's partnership with states, Federal Trade Commission, and US Department of Agriculture ", Details on interagency collaboration and coordination on infant formula regulation 
 Mitchell Berger , Data on infant formula imports and consumer perceptions , Information on consumer purchasing habits and perceptions of European vs. US infant formulas 
 Mitchell Berger , Analysis of Codex standards for older infants and special medical purposes , Understanding of international standards for specific infant age groups and medical conditions 
 Mitchell Berger , Synthesis of international practices and national standards for infant formula safety and nutrition , Comprehensive review of global approaches to infant formula regulation and safety 
 --- , --- , --- 
" Michael T. Abrams, Public Citizen ", Discussion on the new FDA regulatory framework for COVID-19 vaccination ," Regulatory framework details, specifically how changes in pre-market testing standards may impact vaccine access "
" Michael T. Abrams, Public Citizen ", Assessment of FDA and CDC resources for monitoring SARS-CoV-2 virus evolution ," Information on agency resources, staffing, and infrastructure for surveillance and tracking of viral variants "
" Michael T. Abrams, Public Citizen ", Impact of FDA and CDC resource constraints on vaccine formulation and availability , Analysis of how reduced resources may affect the development and distribution of COVID-19 vaccines 
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before the committee meeting , Procedural change 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy recommendation 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Funding and coverage policy 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific guidance 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Product development and approval 
 Not specified (public commenter) , Access to all vaccine options made by all three manufacturers , Market access and competition 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Product development and approval 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain in the next six months , Predictive modeling and forecasting 
 Not specified (public commenter) , Matching of vaccine variants with future variants , Scientific guidance 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Access and equity policy 
 Not specified (public commenter) , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Funding and coverage policy 
 Not specified (public commenter) , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial analyses , Transparency and accountability 
 --- , --- , --- 
 Not specified (public commenter) , Extension of public comment period to at least 4 weeks , Procedural 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Policy 
 Not specified (public commenter) , Vaccines to be fully covered by public funds/insurance at regular intervals (at least every 6 months) , Financial/Insurance 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emerging new SARS-CoV-2 strains , Scientific/Medical 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Scientific/Medical 
 Not specified (public commenter) , Access to all vaccine options from all three manufacturers , Policy 
 Not specified (public commenter) ," Support for alternative vaccine delivery methods (e.g., liquids, pills, nasal sprays) ", Scientific/Medical 
 Not specified (public commenter) , Recommendations to anticipate the next dominant strain in the next 6 months , Scientific/Medical 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Social 
 Not specified (public commenter) , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Policy 
 --- , --- , --- 
 Not specified (individual commenter) , Extension of the public comment period to 4 weeks , Procedural/Timeframe information 
 Not specified (individual commenter) , Universal access to updated COVID vaccines for all ages , Policy/Regulatory information 
 Not specified (individual commenter) , Full coverage of COVID vaccines by public funds/insurance at regular intervals (at least every 6 months) , Financial/Access information 
 Not specified (individual commenter) , Updates to all vaccine types to better match emerging variants , Scientific/Technical information 
 Not specified (individual commenter) ," Support for vaccine options beyond injections (e.g. liquids, pills, nasal sprays) ", Scientific/Technical information 
 Not specified (individual commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Regulatory information 
 Not specified (individual commenter) , Revival of programs like the CDC bridge program for no-cost access to vaccines , Policy/Regulatory information 
 Not specified (individual commenter) , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial/economic analyses , Administrative/Accountability information 
 --- , --- , --- 
 Stephanie Seneff et al. ," Long-term safety and efficacy data for mRNA COVID-19 vaccines, particularly regarding their impact on the immune system and potential adverse effects "," Scientific evidence, pharmacovigilance data, and mechanistic explanations for the biological effects of mRNA vaccination "
 --- , --- , --- 
 Not specified (public commenter) , Extension of public comment period to four weeks , Procedural change 
 Not specified (public commenter) , Universal access to updated COVID vaccines for all ages , Policy recommendation 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at regular intervals (every six months) , Financial and insurance coverage 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emerging new strains , Scientific and medical guidance 
 Not specified (public commenter) , Updates to all vaccine types to match emerging variants , Product development and manufacturing 
 Not specified (public commenter) , Access to all vaccine options from all three manufacturers , Product availability and distribution 
 Not specified (public commenter) ," Support for alternative vaccine delivery methods (liquids, pills, nasal sprays) ", Product development and manufacturing 
 Not specified (public commenter) , Recommendations for equitable and affordable access to updated vaccines , Policy and program development 
 Not specified (public commenter) , Addressing access limitations due to financial and demographic constraints , Social and economic analysis 
 Not specified (public commenter) , FDA to anticipate and prepare for future dominant strains , Scientific and medical forecasting 
 Not specified (public commenter) ," Accountability from Dr. Marty Makary, FDA commissioner, to prioritize public welfare ", Administrative and governance 
 --- , --- , --- 
 Concerned Citizen ," Independent, comprehensive safety reviews of COVID-19 vaccines ", Scientific/Research Data 
 Concerned Citizen , Autopsy reports and peer-reviewed data on post-vaccine blood clotting , Medical/Scientific Research 
 Concerned Citizen ," Disclosure of adverse effect data, VAERS trends, and alternative treatments ", Transparency/Informed Consent 
 Concerned Citizen ," Long-term safety data on mRNA platform, including effects on organs and spike protein production ", Scientific/Research Data 
 Concerned Citizen ," Data on natural immunity, population-specific risks, and severity of variants ", Epidemiological/Data Analysis 
 Concerned Citizen , Investigation into vaccine-linked deaths and clot reports , Investigative/Forensic Analysis 
 Concerned Citizen ," Enforcement of true informed consent, including disclosure of all known risks ", Regulatory/Oversight 
 Concerned Citizen , Rejection of the 2025-2026 COVID-19 vaccine formula and suspension of current vaccines , Regulatory/Policy Action 
 --- , --- , --- 
" Andrew J. Cowan, MD ", Approval of subcutaneous daratumumab for high-risk smoldering multiple myeloma (SMM) , Regulatory Approval 
" Andrew J. Cowan, MD ", Consideration of real-world clinical experience with subcutaneous daratumumab in patients with high-risk SMM , Anecdotal Evidence 
" Andrew J. Cowan, MD ", Recognition of the benefits of proactive treatment with subcutaneous daratumumab in reducing anxiety and preventing morbidity in patients with high-risk SMM , Clinical Outcome Data 
" Andrew J. Cowan, MD "," Acknowledgement of the limitations of the ""watch and wait"" approach in managing high-risk SMM ", Clinical Practice Guideline Feedback 
 --- , --- , --- 
 Not explicitly stated , Data on the effectiveness of pharmacogenetic testing for DPYD variants in reducing fluoropyrimidine-related toxicity ," Scientific evidence, clinical trial data "
 Not explicitly stated , Information on the cost-effectiveness of pharmacogenetic testing for DPYD variants ," Economic analysis, cost-benefit studies "
 Not explicitly stated , Guidance on when to perform pharmacogenomics testing for DPYD variants ," Regulatory guidance, clinical guidelines "
 Not explicitly stated , Data on the frequency and genetic constitution of DPD deficiency in different populations ," Epidemiological data, genetic studies "
 Not explicitly stated , Information on the association between DPYD variants and fluoropyrimidine-related toxicity ," Scientific evidence, clinical trial data "
 --- , --- , --- 
 Unspecified , Ensure a four-week public comment period before committee meetings , Procedural/Regulatory 
 Unspecified , Universal access to updated COVID vaccines for all ages , Policy/Regulatory 
 Unspecified , Vaccines to be fully covered by public funds/insurance at a regular interval of at least every six months , Policy/Regulatory 
 Unspecified , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Technical 
 Unspecified , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Unspecified , Access to all vaccine options made by all three manufacturers , Policy/Regulatory 
 Unspecified ," Continued support for vaccine options beyond injections (e.g., liquids, pills, or nasal sprays) ", Scientific/Technical 
 Unspecified , Recommendations that anticipate the next dominant strain in the next six months , Scientific/Technical 
 Unspecified ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Policy/Regulatory 
 Unspecified , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial analyses , Administrative/Accountability 
 --- , --- , --- 
 Unknown (no name provided) ," Access to safe and effective vaccine options, including SARS-CoV-2 vaccines, with a choice between mRNA and protein subunit vaccines ", Policy/Guidance 
 Unknown (no name provided) , Exemption from new clinical trials for protein subunit vaccines with established safety and efficacy data , Regulatory/Procedural 
 Unknown (no name provided) ," Availability of updated COVID-19 vaccines for the Fall 2025 season, ideally by early August ", Timelines/Deadlines 
 Unknown (no name provided) ," Vaccination options for all ages, with access to vaccination at least once every six months ", Policy/Guidance 
 Unknown (no name provided) , Science-based decision-making for vaccine development and approval , General/Philosophical 
 --- , --- , --- 
 Not specified , Data on startup success rates and factors contributing to success , Statistical and demographic information 
 Not specified , Information on government initiatives and policies supporting organic farming and food production , Regulatory and policy information 
 Not specified , Details on investment themes and priorities of Indian and foreign fund managers , Financial and investment information 
 Not specified , Examples of successful startups in the food and agriculture sector , Case studies and success stories 
 Not specified ," Information on the importance of ESG (Environmental, Social, and Governance) and CSR (Corporate Social Responsibility) considerations in investment decisions ", Sustainability and social responsibility information 
 Not specified , Data on the market size and growth potential of the organic food market in India , Market research and analysis 
 Not specified , Examples of projects or companies with zero expenses and high profit margins , Financial and business model information 
 --- , --- , --- 
 Anonymous/Unknown , Removal of limitations on COVID vaccine access , Policy/Regulatory Guidance 
 --- , --- , --- 
 A working person in the restaurant industry ," Universal access to updated vaccines that address new variants, covering all ages, and fully covered by public funds or insurance at regular intervals ", Policy/Regulatory Guidance 
,,
,,
,,
,,
,,
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before FDA committee meetings , Procedural/Regulatory 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy/Recommendation 
 Not specified (public commenter) , Full coverage of COVID vaccines by public funds/insurance at regular intervals (at least every six months) , Policy/Recommendation 
 Not specified (public commenter) , Vaccine schedule that addresses waning efficacy and emergence of new SARS-CoV-2 strains , Scientific/Epidemiological 
 Not specified (public commenter) , Updates to all vaccine types to better match emerging variants , Scientific/Epidemiological 
 Not specified (public commenter) , Ensuring access to all vaccine options made by all manufacturers , Policy/Recommendation 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Scientific/Technological 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain in the next six months , Scientific/Epidemiological 
 Not specified (public commenter) ," Accountability from Dr. Marty Makary, FDA commissioner, to prioritize public welfare over short-term financial analyses ", Administrative/Accountability 
 Not specified (public commenter) , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Policy/Recommendation 
 --- , --- , --- 
 Undisclosed Organizations , Timely recommendation for 2025-2026 COVID-19 vaccine strains , Regulatory Guidance 
 Undisclosed Organizations , Continued availability of mRNA-based and protein-based vaccines , Product Availability 
 Undisclosed Organizations , Labeling of COVID-19 vaccines to cover adult and pediatric populations , Labeling and Regulatory Information 
 Undisclosed Organizations ," Data on COVID-19 burden, including disease rates, hospitalizations, and deaths ", Epidemiological Data 
 Undisclosed Organizations ," Information on high-risk groups, including older adults and those with underlying conditions ", Demographic and Health Data 
 Undisclosed Organizations ," Data on racial, ethnic, and socioeconomic disparities in COVID-19 outcomes ", Sociodemographic and Health Data 
 Undisclosed Organizations ," Information on vaccine recommendations, including ACIP guidance and state mandates ", Regulatory and Public Health Guidance 
 Undisclosed Organizations ," Data on vaccine safety and efficacy, including clinical trial results and FDA review processes ", Scientific and Regulatory Information 
 --- , --- , --- 
 Davide Marotta ," Support and expertise to raise awareness about the potential link between long-term fluoxetine use and emotional numbness, as well as the importance of transparency and patient involvement in clinical decision-making "," Personal experience validation, medical expertise, and advocacy support "
 --- , --- , --- 
 Health Level Seven (HL7) International , Feedback on the use of HL7 FHIR for study data created from real-world data (RWD) sources for submission to the FDA ," Expertise and recommendations on data standards, interoperability, and RWD "
 Health Level Seven (HL7) International , Collaboration with FDA on the development and implementation of HL7 FHIR for RWD submissions , Partnership and coordination on standards development and implementation 
 Health Level Seven (HL7) International ," Guidance on how to address challenges related to RWD submissions, such as data curation, duplicate data, and data integrity ", Technical and process expertise on data management and quality 
